nodeId1,portId1,tpn1,nodeId2,portId2,tpn2,priority,metric
0,0,0,1,0,0,7,1
0,1,1,2,0,0,7,1
0,2,2,3,0,0,7,1
0,5,5,4,5,2,7,2
0,4,8,5,4,1,7,2
0,3,11,6,3,0,7,2
0,6,18,7,6,3,7,2
0,4,20,8,4,1,7,2
0,3,23,9,3,0,7,2
0,6,30,10,6,3,7,2
0,5,33,11,5,2,7,2
0,3,35,12,3,0,7,2
0,6,42,13,6,3,7,2
0,5,45,14,5,2,7,2
0,4,48,15,4,1,7,2
1,1,1,2,1,1,7,1
1,2,2,3,1,1,7,1
1,6,6,4,6,7,7,2
1,5,9,5,5,6,7,2
1,4,12,6,4,5,7,2
1,3,15,7,3,4,7,2
1,5,21,8,5,6,7,2
1,4,24,9,4,5,7,2
1,3,27,10,3,4,7,2
1,6,34,11,6,7,7,2
1,4,36,12,4,5,7,2
1,3,39,13,3,4,7,2
1,6,46,14,6,7,7,2
1,5,49,15,5,6,7,2
2,2,2,3,2,2,7,1
2,3,3,4,3,8,7,2
2,6,10,5,6,11,7,2
2,5,13,6,5,10,7,2
2,4,16,7,4,9,7,2
2,6,22,8,6,11,7,2
2,5,25,9,5,10,7,2
2,4,28,10,4,9,7,2
2,3,31,11,3,8,7,2
2,5,37,12,5,10,7,2
2,4,40,13,4,9,7,2
2,3,43,14,3,8,7,2
2,6,50,15,6,11,7,2
3,4,4,4,4,13,7,2
3,3,7,5,3,12,7,2
3,6,14,6,6,15,7,2
3,5,17,7,5,14,7,2
3,3,19,8,3,12,7,2
3,6,26,9,6,15,7,2
3,5,29,10,5,14,7,2
3,4,32,11,4,13,7,2
3,6,38,12,6,15,7,2
3,5,41,13,5,14,7,2
3,4,44,14,4,13,7,2
3,3,47,15,3,12,7,2
4,0,16,5,0,16,7,1
4,1,17,6,0,16,7,1
4,2,18,7,0,16,7,1
4,3,19,8,3,16,7,2
4,6,26,9,6,19,7,2
4,5,29,10,5,18,7,2
4,4,32,11,4,17,7,2
4,4,36,12,4,17,7,2
4,5,41,13,5,18,7,2
4,6,46,14,6,19,7,2
4,3,47,15,3,16,7,2
5,1,17,6,1,17,7,1
5,2,18,7,1,17,7,1
5,4,20,8,4,21,7,2
5,3,23,9,3,20,7,2
5,6,30,10,6,23,7,2
5,5,33,11,5,22,7,2
5,3,35,12,3,20,7,2
5,4,40,13,4,21,7,2
5,5,45,14,5,22,7,2
5,6,50,15,6,23,7,2
6,2,18,7,2,18,7,1
6,5,21,8,5,26,7,2
6,4,24,9,4,25,7,2
6,3,27,10,3,24,7,2
6,6,34,11,6,27,7,2
6,6,38,12,6,27,7,2
6,3,39,13,3,24,7,2
6,4,44,14,4,25,7,2
6,5,49,15,5,26,7,2
7,6,22,8,6,31,7,2
7,5,25,9,5,30,7,2
7,4,28,10,4,29,7,2
7,3,31,11,3,28,7,2
7,5,37,12,5,30,7,2
7,6,42,13,6,31,7,2
7,3,43,14,3,28,7,2
7,4,48,15,4,29,7,2
8,0,32,9,0,32,7,1
8,1,33,10,0,32,7,1
8,2,34,11,0,32,7,1
8,5,37,12,5,34,7,2
8,4,40,13,4,33,7,2
8,3,43,14,3,32,7,2
8,6,50,15,6,35,7,2
9,1,33,10,1,33,7,1
9,2,34,11,1,33,7,1
9,6,38,12,6,39,7,2
9,5,41,13,5,38,7,2
9,4,44,14,4,37,7,2
9,3,47,15,3,36,7,2
10,2,34,11,2,34,7,1
10,3,35,12,3,40,7,2
10,6,42,13,6,43,7,2
10,5,45,14,5,42,7,2
10,4,48,15,4,41,7,2
11,4,36,12,4,45,7,2
11,3,39,13,3,44,7,2
11,6,46,14,6,47,7,2
11,5,49,15,5,46,7,2
12,0,48,13,0,48,7,1
12,1,49,14,0,48,7,1
12,2,50,15,0,48,7,1
13,1,49,14,1,49,7,1
13,2,50,15,1,49,7,1
14,2,50,15,2,50,7,1
0,0,49,1,0,50,6,1
0,1,50,2,0,51,6,1
0,2,51,3,0,48,6,1
0,3,52,4,3,48,6,2
0,4,53,4,4,49,6,2
0,5,54,4,5,50,6,2
0,6,55,4,6,51,6,2
0,3,56,5,3,51,6,2
0,4,57,5,4,52,6,2
0,5,58,5,5,53,6,2
0,6,59,5,6,54,6,2
0,3,60,6,3,50,6,2
0,4,61,6,4,51,6,2
0,5,62,6,5,52,6,2
0,6,63,6,6,53,6,2
0,3,64,7,3,49,6,2
0,4,65,7,4,50,6,2
0,5,66,7,5,51,6,2
0,6,67,7,6,52,6,2
0,3,68,8,3,51,6,2
0,4,69,8,4,52,6,2
0,5,70,8,5,53,6,2
0,6,71,8,6,54,6,2
0,3,72,9,3,48,6,2
0,4,73,9,4,49,6,2
0,5,74,9,5,50,6,2
0,6,75,9,6,51,6,2
0,3,76,10,3,49,6,2
0,4,77,10,4,50,6,2
0,5,78,10,5,51,6,2
0,6,79,10,6,52,6,2
0,3,80,11,3,50,6,2
0,4,81,11,4,51,6,2
0,5,82,11,5,52,6,2
0,6,83,11,6,53,6,2
0,3,84,12,3,51,6,2
0,4,85,12,4,52,6,2
0,5,86,12,5,53,6,2
0,6,87,12,6,54,6,2
0,3,88,13,3,51,6,2
0,4,89,13,4,52,6,2
0,5,90,13,5,53,6,2
0,6,91,13,6,54,6,2
0,3,92,14,3,51,6,2
0,4,93,14,4,52,6,2
0,5,94,14,5,53,6,2
0,6,95,14,6,54,6,2
0,3,96,15,3,51,6,2
0,4,97,15,4,52,6,2
0,5,98,15,5,53,6,2
0,6,99,15,6,54,6,2
1,1,51,2,1,52,6,1
1,2,52,3,1,49,6,1
1,3,53,4,3,52,6,2
1,4,54,4,4,53,6,2
1,5,55,4,5,54,6,2
1,6,56,4,6,55,6,2
1,3,57,5,3,55,6,2
1,4,58,5,4,56,6,2
1,5,59,5,5,57,6,2
1,6,60,5,6,58,6,2
1,3,61,6,3,54,6,2
1,4,62,6,4,55,6,2
1,5,63,6,5,56,6,2
1,6,64,6,6,57,6,2
1,3,65,7,3,53,6,2
1,4,66,7,4,54,6,2
1,5,67,7,5,55,6,2
1,6,68,7,6,56,6,2
1,3,69,8,3,55,6,2
1,4,70,8,4,56,6,2
1,5,71,8,5,57,6,2
1,6,72,8,6,58,6,2
1,3,73,9,3,52,6,2
1,4,74,9,4,53,6,2
1,5,75,9,5,54,6,2
1,6,76,9,6,55,6,2
1,3,77,10,3,53,6,2
1,4,78,10,4,54,6,2
1,5,79,10,5,55,6,2
1,6,80,10,6,56,6,2
1,3,81,11,3,54,6,2
1,4,82,11,4,55,6,2
1,5,83,11,5,56,6,2
1,6,84,11,6,57,6,2
1,3,85,12,3,55,6,2
1,4,86,12,4,56,6,2
1,5,87,12,5,57,6,2
1,6,88,12,6,58,6,2
